"group","name","energy_high","energy_low","step_size","energy","fat","cho","protein","na","sfa","dfib","water","energy_density","glyc_index","glyc_load"
0,"Animal Crackers1",250,50,50,246.33,0.0273444444444444,0.174008888888889,0.0156911111111111,1.11111111111111,0.00525111111111111,0.00523777777777778,0.0257422222222222,4.5,0.280112044817927,0.116666666666667
1,"Apples and Pecans1",250,50,50,313.276,0.0700259834778279,0.103112846180365,0.0104728099184106,0.00650544567729414,0.00610025664270484,0.0248062411419962,0.559976761705333,1.33993156544055,0.120998677204765,0.0296674497886847
1,"Baked Sweet Potato1",250,50,50,232.812,0.0160835781660739,0.20035729257942,0.0195978815524973,1.88705994536364,0.00976998780131608,0.0319238699036132,0.735951136539354,1.01103921483476,0.40373330927959,0.158361742521863
1,"Bananas and Craisins1",250,50,50,308.1474,0.00360711140188105,0.26390785708398,0.00527080871037692,0.0142172220177746,0.000678189723489473,0.0220519141164261,0.370188883631665,1.5455281372254,0.203216398937651,0.151699186817737
1,"Buttered Pasta1",250,50,50,241.8379,0.0181903126019536,0.172915915991662,0.0326329950764541,0.108498709259384,0.00920625592597356,0.0100852678591734,0.35064941847411,1.73522207074693,0.194333595354574,0.0763678894002967
1,"Cheddar Cheese1",250,50,50,282.1,0.0826550868486352,0.00836228287841191,0.0567493796526055,1.62034739454094,0.0468163771712159,0,0.0911910669975186,4.03,0.145338532435307,0.003424317617866
0,"Chex Mix2",250,50,50,236.4044,0.0274336492890995,0.168582938388626,0.020563981042654,1.71563981042654,0.00478199052132701,0.00992417061611374,0.0230521327014218,4.22,0.262262462119994,0.0981042654028436
0,"Chicken Nuggets1",250,50,50,253.7224,0.0497866108786611,0.0818702928870293,0.0545690376569038,2.4560669456067,0.00997071129707113,0.0041673640167364,0.22292050209205,2.39,0.271950761935091,0.0532635983263598
0,"Chocolate Chip Cookies1",250,50,50,375.6641,0.0495723014256619,0.136409368635438,0.0106802443991853,0.678207739307536,0.0156598778004073,0.00544602851323829,0.0106598778004073,4.91,0.178350819255819,0.0877800407331976
0,"Deli Turkey and Mashed Potatoes1",250,50,50,210.91,0.0428007681001375,0.0778406429282632,0.0746090749608838,5.49039874828126,0.0203226968849272,0.00767132900289223,0.727594092266844,1.06520202020202,0.295727596557773,0.0438438196387085
0,"Frosted Mini Wheats1",250,50,50,245,0.00714285714285714,0.242857142857143,0.0238,0.0485714285714286,0.00134285714285714,0.0285714285714286,0.00805714285714286,3.5,0.183673469387755,0.0957142857142857
0,"Fruit Chews1",250,50,50,299.04,0.0109943820224719,0.234359550561798,0.000143258426966292,0.522471910112359,0.00281741573033708,0.000938202247191011,0.0332331460674157,3.56,0.250802568218299,0.175758426966292
0,"Grilled Cheese1",250,50,50,333.5353,0.0547703016742156,0.0841102875767572,0.0423703128274578,1.87499763893057,0.0323199925165342,0.00442154098831518,0.125134625930149,3.18654151141683,0.215018921295587,0.0571536446067328
1,"Harboiled Eggs1",150,50,50,164.7805,0.0684516129032258,0.0072258064516129,0.0811612903225807,0.8,0.0210774193548387,0,0.48141935483871,1.55,0,0
0,"Hot Dog1",250,50,50,268.4398,0.0556646592643863,0.0893001708390485,0.0343152915476766,2.63854167675583,0.0168317291251148,0.00274206730894599,0.168557389776032,2.79799666458203,0.21801472978299,0.0505900764342694
0,"Hot Pocket1",250,50,50,228.3786,0.0331643192488263,0.138723004694836,0.0326244131455399,2.44131455399061,0.0134835680751174,0.00505633802816901,0.258478873239437,2.13,0.302129884323663,0.0917840375586854
1,"Mini Cheese Wheels1",250,50,50,239.2,0.0816304347826087,0.00304347826086957,0.0636141304347826,2.20108695652174,0.0519375,0,0.113505434782609,3.68,0.171404682274247,0.00125
1,"Mozzarella Cheese Sticks1",250,50,50,261.0455,0.0670508474576271,0.0189152542372881,0.0805084745762712,2.25762711864407,0.0382881355932203,0,0.159559322033898,2.95,0.149399242660762,0.00738983050847458
1,"Oatmeal and Honey1",250,50,50,301.24,0.0180852476430753,0.178044084450936,0.0353837471783296,0.16843712654362,0.00460596202363564,0.0229650776789271,1.34018390651972,0.846179775280899,0.202259294184039,0.0945279511353074
0,"Peanut Butter and Jelly Sandwich1",250,50,50,267.156,0.0477138076629385,0.121854534429322,0.0289726601685906,0.923363128658911,0.00962033792989864,0.00801516716824627,0.0624172393657638,3.76276056338028,0.22491151402177,0.0683899294794053
1,"Pepper Jack Cheese1",250,50,50,267.624,0.0840767195767196,0.00468518518518518,0.05705291005291,1.58730158730159,0.0530396825396825,0,0.11052380952381,3.78,0.153200011957074,0.0019047619047619
0,"Pop-Tarts1",250,50,50,358.8224,0.0256443298969072,0.181237113402062,0.0108247422680412,0.860824742268041,0.00931701030927835,0.00257731958762887,0.0369329896907216,3.88,0.164426747048122,0.105412371134021
1,"Popcorn1",200,50,50,180.06,0.0521059646784405,0.120984116405643,0.0205942463623237,2.31739420193269,0.0295188270576475,0.0225480395423748,0.0139764522936799,4.62879177377892,0.399731349661224,0.0709407975119405
1,"Trail Mix with Peanuts1",250,50,50,419.0858,0.0684131149277785,0.0837316463597669,0.0322395437879308,0.0237330875920873,0.0100580031583031,0.0159078403515462,0.0127655888126011,4.92347039473684,0.12368852535686,0.0351104499365046
0,"Veggie Straws2",250,50,50,250.6776,0.0555391498881432,0.121250559284116,0.00734675615212528,1.68232662192394,0.00448993288590604,0.00648545861297539,0.0193266219239374,4.47,0.390940395152977,0.112818791946309
